case_name,seed,method,final_hv,auc_hv
channel_rich_7x4,0,Fixed cyclic schedule,0.8859608996954347,0.6373694293746961
channel_rich_7x4,0,Replay-Adaptive Schedule,0.9574297615355147,0.6767721735573242
channel_rich_7x4,0,Online AI-Adaptive Pareto-QAOA,0.666557818524428,0.49292959466028663
channel_rich_7x4,1,Fixed cyclic schedule,0.9351600376998771,0.6420156808739237
channel_rich_7x4,1,Replay-Adaptive Schedule,0.9414046415522757,0.5954260384065191
channel_rich_7x4,1,Online AI-Adaptive Pareto-QAOA,0.7489239110430506,0.514001301899754
channel_rich_7x4,2,Fixed cyclic schedule,0.8224569139483644,0.578705044885038
channel_rich_7x4,2,Replay-Adaptive Schedule,0.9520949800326025,0.6612468638419958
channel_rich_7x4,2,Online AI-Adaptive Pareto-QAOA,0.6247394204511761,0.4682255347138029
channel_rich_7x4,3,Fixed cyclic schedule,0.8017749824207576,0.5971807573085179
channel_rich_7x4,3,Replay-Adaptive Schedule,0.8734317903807126,0.654982288090526
channel_rich_7x4,3,Online AI-Adaptive Pareto-QAOA,0.9005930165665559,0.6244487973052044
channel_rich_7x4,4,Fixed cyclic schedule,0.758889123108331,0.5133239449308363
channel_rich_7x4,4,Replay-Adaptive Schedule,0.7843728663248019,0.519694880734954
channel_rich_7x4,4,Online AI-Adaptive Pareto-QAOA,0.8885212159489233,0.5576363458406972
energy_dominated_case,0,Fixed cyclic schedule,0.9098458075583629,0.5660652176871901
energy_dominated_case,0,Replay-Adaptive Schedule,0.716557467075264,0.4906293267147964
energy_dominated_case,0,Online AI-Adaptive Pareto-QAOA,0.7096955184498824,0.48527032701400036
energy_dominated_case,1,Fixed cyclic schedule,0.7762133673175275,0.5359219785401204
energy_dominated_case,1,Replay-Adaptive Schedule,0.7619264982540782,0.5550956741556073
energy_dominated_case,1,Online AI-Adaptive Pareto-QAOA,0.8606194724120481,0.5291670990247657
energy_dominated_case,2,Fixed cyclic schedule,0.7863458653321302,0.5897593989990975
energy_dominated_case,2,Replay-Adaptive Schedule,0.9464032486032797,0.6048327927746332
energy_dominated_case,2,Online AI-Adaptive Pareto-QAOA,0.6965231441799636,0.5111865766159892
energy_dominated_case,3,Fixed cyclic schedule,0.8646862238439557,0.5594091296357432
energy_dominated_case,3,Replay-Adaptive Schedule,0.7977401337566388,0.5897979770793091
energy_dominated_case,3,Online AI-Adaptive Pareto-QAOA,0.9206987603536931,0.6706741160428733
energy_dominated_case,4,Fixed cyclic schedule,0.8612819696715001,0.6180454192297826
energy_dominated_case,4,Replay-Adaptive Schedule,0.8106990269274436,0.5990768157007613
energy_dominated_case,4,Online AI-Adaptive Pareto-QAOA,0.8384361358613897,0.6042514268835996
high_conflict_tradeoff_case,0,Fixed cyclic schedule,0.865583130981043,0.5690517342545471
high_conflict_tradeoff_case,0,Replay-Adaptive Schedule,0.6032241670557874,0.40658825659351516
high_conflict_tradeoff_case,0,Online AI-Adaptive Pareto-QAOA,0.7196504010470085,0.5093721799605742
high_conflict_tradeoff_case,1,Fixed cyclic schedule,0.8778765163058724,0.651887771996405
high_conflict_tradeoff_case,1,Replay-Adaptive Schedule,0.7920299989844769,0.5822222906718431
high_conflict_tradeoff_case,1,Online AI-Adaptive Pareto-QAOA,0.8535090856160192,0.606294716147533
high_conflict_tradeoff_case,2,Fixed cyclic schedule,0.6647978427255424,0.4758337222499602
high_conflict_tradeoff_case,2,Replay-Adaptive Schedule,0.8220280855952938,0.5680553070101029
high_conflict_tradeoff_case,2,Online AI-Adaptive Pareto-QAOA,0.6786950424466485,0.44959476252548713
high_conflict_tradeoff_case,3,Fixed cyclic schedule,0.8368892253087192,0.5620479221502634
high_conflict_tradeoff_case,3,Replay-Adaptive Schedule,0.8538606576158341,0.6389133989521789
high_conflict_tradeoff_case,3,Online AI-Adaptive Pareto-QAOA,0.840783355324393,0.6282336020808353
high_conflict_tradeoff_case,4,Fixed cyclic schedule,0.9781319926292676,0.6791988419900761
high_conflict_tradeoff_case,4,Replay-Adaptive Schedule,0.861836423354183,0.6391199981030743
high_conflict_tradeoff_case,4,Online AI-Adaptive Pareto-QAOA,0.8711757606310054,0.6043651713261087
interference_dominated_case,0,Fixed cyclic schedule,0.820520165206764,0.586654202141812
interference_dominated_case,0,Replay-Adaptive Schedule,0.8065275429061582,0.5852879697068815
interference_dominated_case,0,Online AI-Adaptive Pareto-QAOA,0.8548110979691925,0.6313795474567307
interference_dominated_case,1,Fixed cyclic schedule,0.797560394481988,0.5378465589136414
interference_dominated_case,1,Replay-Adaptive Schedule,0.7716987724604771,0.5691812218745882
interference_dominated_case,1,Online AI-Adaptive Pareto-QAOA,0.8672063440189868,0.6375340903105114
interference_dominated_case,2,Fixed cyclic schedule,0.8081129431425127,0.583984115570585
interference_dominated_case,2,Replay-Adaptive Schedule,0.8833029999806835,0.5998088599610469
interference_dominated_case,2,Online AI-Adaptive Pareto-QAOA,0.7214521987196051,0.5376659595510651
interference_dominated_case,3,Fixed cyclic schedule,0.8201233315216707,0.5727032290474143
interference_dominated_case,3,Replay-Adaptive Schedule,0.7662330973093485,0.5521807285463802
interference_dominated_case,3,Online AI-Adaptive Pareto-QAOA,0.821616963290305,0.5550036925890989
interference_dominated_case,4,Fixed cyclic schedule,0.9660867345635326,0.6291082850883047
interference_dominated_case,4,Replay-Adaptive Schedule,0.9291650639423095,0.6959037704855668
interference_dominated_case,4,Online AI-Adaptive Pareto-QAOA,0.8370124541816211,0.6277593406362157
main_dense_small_cell,0,Fixed cyclic schedule,0.9193055493650157,0.5755786191457076
main_dense_small_cell,0,Replay-Adaptive Schedule,0.7419254045644794,0.5234044320418008
main_dense_small_cell,0,Online AI-Adaptive Pareto-QAOA,0.7274157812679121,0.5130663254429966
main_dense_small_cell,1,Fixed cyclic schedule,0.841002261527817,0.6293778022602786
main_dense_small_cell,1,Replay-Adaptive Schedule,0.8679425285886201,0.646566409459272
main_dense_small_cell,1,Online AI-Adaptive Pareto-QAOA,0.8165111096543598,0.556143284706965
main_dense_small_cell,2,Fixed cyclic schedule,0.8326134694596846,0.6207061016241444
main_dense_small_cell,2,Replay-Adaptive Schedule,0.8688425533666114,0.6321766586177027
main_dense_small_cell,2,Online AI-Adaptive Pareto-QAOA,0.805382069220432,0.47917134578544723
main_dense_small_cell,3,Fixed cyclic schedule,0.8736778812404337,0.6429939784458027
main_dense_small_cell,3,Replay-Adaptive Schedule,0.7592098447182232,0.5336805584750581
main_dense_small_cell,3,Online AI-Adaptive Pareto-QAOA,0.8835131266144953,0.6546066778031283
main_dense_small_cell,4,Fixed cyclic schedule,0.9609984509494605,0.6727803715514047
main_dense_small_cell,4,Replay-Adaptive Schedule,0.9276920439095847,0.6485849562923646
main_dense_small_cell,4,Online AI-Adaptive Pareto-QAOA,0.859389774400274,0.5987460211203761
