case_name,method,hypervolume,pareto_size,best_throughput,best_interference,best_energy,feasibility_rate,objective_evaluations,runtime_seconds,hv_at_25pct,hv_at_50pct,hv_at_75pct,hv_at_100pct,final_hv,auc_hv,normalized_final_hv,normalized_auc_hv,evals_to_90pct_ref_hv,hv_per_valid_eval,hypervolume_reference,exact_pareto_size,exact_pareto_hv,direction_coverage,valid_sample_efficiency,hv_25,hv_50,hv_75,archive_size,evals_to_90_ref_hv,runtime,eval_budget,qaoa_seed_archive_fraction,qaoa_descendant_archive_fraction,raw_hypervolume_reference
main_dense_small_cell,Random,0.8266857873219272,20,20.927395366680287,1.3029764301880027,6.47667060782328,1.0,300,0.05845308303833008,0.6164776198129072,0.7626016177620879,0.7961551216354,0.8055863767781688,0.8266857873219272,0.6957397621924121,0.7866758715913014,0.6620673685421702,-1,0.0027556192910730905,"[1.0530053577773335, 1.0520219000961049, 1.0914894181700245]",28,1.0508594672538933,0.5,1.0,0.6164776198129072,0.7626016177620879,0.7961551216354,20,-1,0.05845308303833008,300,0.0,0.0,"[-3.2841672085657665, 11.414313176351683, 12.386098515042493]"
main_dense_small_cell,Greedy,0.9974761448752726,17,23.150184568542446,1.3029764301880027,6.872766454095367,1.0,300,0.062082767486572266,0.6607319708674376,0.8526418912191199,0.9717215635238654,0.9719633905788082,0.9974761448752726,0.7887420140274017,0.9492003221723623,0.7505684999808232,105,0.003324920482917575,"[1.0530053577773335, 1.0520219000961049, 1.0914894181700245]",28,1.0508594672538933,0.7,1.0,0.6607319708674376,0.8526418912191199,0.9717215635238654,17,105,0.062082767486572266,300,0.0,0.0,"[-3.2841672085657665, 11.414313176351683, 12.386098515042493]"
main_dense_small_cell,Evolutionary MOO,0.8606020317776535,11,21.261884146451727,1.359783377571796,6.47667060782328,1.0,300,0.03811383247375488,0.7335219144052174,0.7335219144052174,0.8304945634372761,0.8304945634372761,0.8606020317776535,0.7203783788594399,0.8189506385916466,0.6855135261253659,-1,0.002868673439258845,"[1.0530053577773335, 1.0520219000961049, 1.0914894181700245]",28,1.0508594672538933,0.5,1.0,0.7335219144052174,0.7335219144052174,0.8304945634372761,11,-1,0.03811383247375488,300,0.0,0.0,"[-3.2841672085657665, 11.414313176351683, 12.386098515042493]"
main_dense_small_cell,NSGA-II-style,0.9387726272879103,15,20.561044004349636,1.3029764301880027,6.4753638068218935,1.0,300,0.35685133934020996,0.6753020509277408,0.7660476532950226,0.8943369059421727,0.9028008528651704,0.9387726272879103,0.7467583518446019,0.8933379357956508,0.7106167619120675,-1,0.003129242090959701,"[1.0530053577773335, 1.0520219000961049, 1.0914894181700245]",28,1.0508594672538933,0.5,1.0,0.6753020509277408,0.7660476532950226,0.8943369059421727,15,-1,0.35685133934020996,300,0.0,0.0,"[-3.2841672085657665, 11.414313176351683, 12.386098515042493]"
main_dense_small_cell,MOEA/D-style,0.9474784012658507,13,23.150184568542446,1.3029764301880027,6.780132322781957,1.0,300,0.18360447883605957,0.5739765149067119,0.6663544498948576,0.7115156524054236,0.8198541730197935,0.9474784012658507,0.6121498223808872,0.9016223679668623,0.5825230123115868,290,0.003158261337552836,"[1.0530053577773335, 1.0520219000961049, 1.0914894181700245]",28,1.0508594672538933,0.6,1.0,0.5739765149067119,0.6663544498948576,0.7115156524054236,13,290,0.18360447883605957,300,0.0,0.0,"[-3.2841672085657665, 11.414313176351683, 12.386098515042493]"
main_dense_small_cell,Classical-Seeded Evolutionary MOO,1.0264349347046717,19,23.150184568542446,1.3029764301880027,6.558610858104487,1.0,300,0.0521392822265625,0.9974761448752726,0.9974761448752726,0.9978388854576868,0.9978388854576868,1.0264349347046717,0.9807944779931365,0.9767575652974343,0.9333260141397871,10,0.0034214497823489057,"[1.0530053577773335, 1.0520219000961049, 1.0914894181700245]",28,1.0508594672538933,0.6,1.0,0.9974761448752726,0.9974761448752726,0.9978388854576868,19,10,0.0521392822265625,300,0.0,0.0,"[-3.2841672085657665, 11.414313176351683, 12.386098515042493]"
main_dense_small_cell,Quantum-Seeded Evolutionary MOO,1.045176531462738,28,23.150184568542446,1.3029764301880027,6.47667060782328,1.0,300,0.06509900093078613,1.045176531462738,1.045176531462738,1.045176531462738,1.045176531462738,1.045176531462738,1.0180364154348729,0.994592106777126,0.9687655173295496,10,0.0034839217715424598,"[1.0530053577773335, 1.0520219000961049, 1.0914894181700245]",28,1.0508594672538933,0.7,1.0,1.045176531462738,1.045176531462738,1.045176531462738,28,10,0.06509900093078613,300,1.0,0.25,"[-3.2841672085657665, 11.414313176351683, 12.386098515042493]"
main_dense_small_cell,Fixed Pareto-QAOA,1.047352974957223,28,23.150184568542446,1.3029764301880027,6.47667060782328,1.0,200,1.13511061668396,0.9475086296477186,1.0428187176770458,1.0428187176770458,1.047352974957223,1.047352974957223,0.9503440518669228,0.9966632148199288,0.9043493268898862,60,0.005236764874786115,"[1.0530053577773335, 1.0520219000961049, 1.0914894181700245]",28,1.0508594672538933,0.7,0.14,0.9475086296477186,1.0428187176770458,1.0428187176770458,28,60,1.13511061668396,300,0.0,0.0,"[-3.2841672085657665, 11.414313176351683, 12.386098515042493]"
main_dense_small_cell,AI-Adaptive Pareto-QAOA,1.0371962386496258,24,22.86223251174867,1.3029764301880027,6.47667060782328,1.0,200,0.6624140739440918,0.927044015123185,1.0286718349628925,1.0352011654463478,1.0371962386496258,1.0371962386496258,0.929855254636895,0.9869980439535152,0.8848521458980556,100,0.005185981193248129,"[1.0530053577773335, 1.0520219000961049, 1.0914894181700245]",28,1.0508594672538933,0.6,0.12,0.927044015123185,1.0286718349628925,1.0352011654463478,24,100,0.6624140739440918,300,0.0,0.0,"[-3.2841672085657665, 11.414313176351683, 12.386098515042493]"
main_dense_small_cell,AI-Pareto-QAOA Ensemble,1.047352974957223,28,23.150184568542446,1.3029764301880027,6.47667060782328,1.0,400,1.7975246906280518,0.9475086296477186,1.0428187176770458,1.0428187176770458,1.047352974957223,1.047352974957223,0.9467774050903353,0.9966632148199288,0.9009552985847429,60,0.0026183824373930574,"[1.0530053577773335, 1.0520219000961049, 1.0914894181700245]",28,1.0508594672538933,0.7,0.07,0.9475086296477186,1.0428187176770458,1.0428187176770458,28,60,1.7975246906280518,300,0.5,0.0,"[-3.2841672085657665, 11.414313176351683, 12.386098515042493]"
